0,87.64196088,0.08650703
0.00586081,87.25219966,0.08611333
0.01172161,86.86304603,0.08572025
0.01758242,86.47451483,0.08532779
0.02344322,86.08661689,0.08493598
0.02930403,85.69936456,0.08454481
0.03516484,85.31276879,0.08415431
0.04102564,84.92684208,0.08376449
0.04688645,84.54159551,0.08337535
0.05274725,84.15704012,0.08298691
0.05860806,83.77318737,0.08259918
0.06446886,83.39004967,0.08221217
0.07032967,83.00763681,0.0818259
0.07619048,82.62596068,0.08144036
0.08205128,82.24503101,0.08105559
0.08791209,81.86485985,0.08067158
0.09377289,81.4854575,0.08028834
0.0996337,81.10683454,0.07990589
0.10549451,80.72900184,0.07952424
0.11135531,80.35196879,0.0791434
0.11721612,79.97574646,0.07876338
0.12307692,79.60034547,0.07838419
0.12893773,79.22577506,0.07800583
0.13479853,78.85204617,0.07762833
0.14065934,78.4791666,0.07725168
0.14652015,78.10714826,0.07687591
0.15238095,77.73599965,0.07650101
0.15824176,77.36573073,0.076127
0.16410256,76.99635098,0.07575389
0.16996337,76.62786895,0.07538169
0.17582418,76.26029446,0.0750104
0.18168498,75.89363606,0.07464004
0.18754579,75.52790373,0.07427061
0.19340659,75.16310583,0.07390213
0.1992674,74.79924932,0.0735346
0.20512821,74.43634482,0.07316803
0.21098901,74.07440028,0.07280242
0.21684982,73.71342387,0.0724378
0.22271062,73.35342417,0.07207417
0.22857143,72.99440814,0.07171152
0.23443223,72.63638493,0.07134988
0.24029304,72.27936279,0.07098926
0.24615385,71.92334703,0.07062964
0.25201465,71.56834782,0.07027106
0.25787546,71.21437134,0.06991351
0.26373626,70.86142551,0.069557
0.26959707,70.50951786,0.06920153
0.27545788,70.15865391,0.06884713
0.28131868,69.80884228,0.06849378
0.28717949,69.46008967,0.0681415
0.29304029,69.11240171,0.0677903
0.2989011,68.76578616,0.06744019
0.3047619,68.42024914,0.06709116
0.31062271,68.07579701,0.06674323
0.31648352,67.73243686,0.0663964
0.32234432,67.39017238,0.06605068
0.32820513,67.049012,0.06570607
0.33406593,66.70896093,0.06536259
0.33992674,66.37002472,0.06502023
0.34578755,66.03220921,0.064679
0.35164835,65.6955194,0.06433891
0.35750916,65.35996198,0.06399996
0.36336996,65.02554146,0.06366216
0.36923077,64.69226206,0.06332552
0.37509158,64.36013013,0.06299003
0.38095238,64.02915017,0.06265571
0.38681319,63.69932691,0.06232255
0.39267399,63.37066529,0.06199057
0.3985348,63.04317057,0.06165977
0.4043956,62.71684439,0.06133015
0.41025641,62.39169385,0.06100171
0.41611722,62.06772255,0.06067447
0.42197802,61.74493423,0.06034842
0.42783883,61.42333262,0.06002357
0.43369963,61.10292233,0.05969992
0.43956044,60.78370704,0.05937748
0.44542125,60.46568971,0.05905625
0.45128205,60.14887381,0.05873624
0.45714286,59.83326384,0.05841744
0.46300366,59.51886264,0.05809986
0.46886447,59.20567188,0.05778351
0.47472527,58.89369644,0.05746838
0.48058608,58.58293865,0.05715448
0.48644689,58.27340081,0.05684182
0.49230769,57.96508737,0.05653039
0.4981685,57.65799957,0.0562202
0.5040293,57.35213928,0.05591125
0.50989011,57.04751017,0.05560355
0.51575092,56.74411408,0.05529708
0.52161172,56.44195296,0.05499187
0.52747253,56.14102956,0.05468791
0.53333333,55.84134564,0.0543852
0.53919414,55.54290194,0.05408374
0.54505495,55.24570158,0.05378354
0.55091575,54.94974641,0.05348459
0.55677656,54.65503592,0.0531869
0.56263736,54.36157366,0.05289048
0.56849817,54.06936049,0.05259531
0.57435897,53.77839658,0.05230141
0.58021978,53.48868503,0.05200877
0.58608059,53.20022535,0.0517174
0.59194139,52.913019,0.05142729
0.5978022,52.62706677,0.05113845
0.603663,52.34236923,0.05085088
0.60952381,52.05892755,0.05056457
0.61538462,51.77674197,0.05027954
0.62124542,51.49581292,0.04999577
0.62710623,51.21614043,0.04971327
0.63296703,50.93772608,0.04943205
0.63882784,50.66056827,0.04915209
0.64468864,50.3846691,0.0488734
0.65054945,50.11002704,0.04859599
0.65641026,49.83664254,0.04831984
0.66227106,49.56451601,0.04804497
0.66813187,49.29364552,0.04777136
0.67399267,49.02403245,0.04749902
0.67985348,48.75567587,0.04722796
0.68571429,48.48857515,0.04695816
0.69157509,48.22272983,0.04668963
0.6974359,47.95813955,0.04642236
0.7032967,47.69480263,0.04615637
0.70915751,47.43271927,0.04589164
0.71501832,47.17188814,0.04562817
0.72087912,46.91230791,0.04536597
0.72673993,46.65397878,0.04510503
0.73260073,46.39689783,0.04484535
0.73846154,46.141066,0.04458694
0.74432234,45.88648013,0.04432978
0.75018315,45.63313968,0.04407388
0.75604396,45.38104339,0.04381924
0.76190476,45.13018843,0.04356585
0.76776557,44.88057581,0.04331371
0.77362637,44.63220166,0.04306283
0.77948718,44.38506539,0.0428132
0.78534799,44.13916476,0.04256481
0.79120879,43.89449793,0.04231767
0.7970696,43.65106371,0.04207178
0.8029304,43.40885877,0.04182713
0.80879121,43.16788265,0.04158372
0.81465201,42.92813268,0.04134155
0.82051282,42.68960582,0.04110061
0.82637363,42.45230103,0.04086091
0.83223443,42.2162152,0.04062244
0.83809524,41.98134738,0.0403852
0.84395604,41.74769376,0.04014919
0.84981685,41.51525245,0.0399144
0.85567766,41.2840213,0.03968083
0.86153846,41.05399667,0.03944848
0.86739927,40.82517702,0.03921735
0.87326007,40.59755923,0.03898743
0.87912088,40.37114107,0.03875873
0.88498168,40.1459192,0.03853123
0.89084249,39.9218911,0.03830494
0.8967033,39.69905392,0.03807985
0.9025641,39.47740432,0.03785596
0.90842491,39.25694039,0.03763327
